ID,species,tarsus,ulna,cv.skull.1,second_digit,sclerotic_ring,metatarsus,cv.keel.1,humerus,cv.furcula.1,femur,carpometacarpus,radius
UMMZ_217535,Agelaius_tricolor,35.9538576562148,26.56,30.5,7.81892559371772,6.44,25.485630316137,23.2299856262167,22.115,18.774126924199,22.05,16.86,23.3242283371465
UMMZ_217536,Agelaius_tricolor,37.92,28.6862030786704,36.56,8.32686142415393,7.37,26.85,24.1,24.695,20.2195769504251,23.495,16.929327757128,25.0666955079135
UMMZ_217537,Molothrus_ater,34.51,27.54,31.29,8.19,6.715,25.1182273683023,26.73,22.81,19.3510998004206,20.5,16.05,24.0295750147487
UMMZ_217538,Passer_melanurus,29.21,22.2463928353609,28.65,6.60265313133237,6.225,19.8654993793753,22.17,19.81,16.5410142370418,18.3537752023175,12.76,19.523891894104
UMMZ_217539,Vidua_chalybeata,21.02,19.375,21.49,5.26807361962543,5.49,14.72,15.94,16.040505916481,13.73,13.86,10.17,16.8
UMMZ_217540,Vidua_purpurascens,20.76,18.0822423879196,20.12,5.1115092795411,5.30620947894164,14.6130297755708,15.55,15.72,13.1916959420987,12.88,10.0090132577472,15.13
UMMZ_217541,Uraeginthus_granatinus,22.79,15.6841459088099,22.09,4.58467070801992,4.945,16.7563511756389,12.2,14.32,12.2871924128897,14.415,9.56932054006866,13.9444536251549
UMMZ_217542,Serinus_mozambicus,20.275,18.3102856717287,22.42,5.22856409930217,4.82048790085084,13.915,15.08,14.97,12.627081609303,12.78,10.3757747101138,16.3959449083232
UMMZ_217544,Nectarinia_venusta,20.8030473022145,15.5748979203571,27.36,4.05570277006991,4.7318752611978,16.0795937265439,11.9581888026256,13.17,11.0587346680251,10.92,8.37220755101236,14.2
UMMZ_217545,Quelea_quelea,27.275,18.849328072018,24.22,5.97,5.53,17.85,14.96,16.275,15,15.765,10.39,16.6987052984731
UMMZ_217546,Vidua_funerea,21.415,18.3785702815178,20.69,5.28593706360499,5.55,14.14,15.12,15.86,13.5459640430259,13.105,10.1625569765877,16.34
UMMZ_217547,Vidua_hypocherina,20.44,17.9168949284523,19.8,5.1,4.56,14.38,14.9,15.5,12.6,12.6,9.6321112886506,15.9839131155589
UMMZ_217743,Perisoreus_canadensis,46.945,34.4246897876973,53.57,8.72,9.93,34.32,21.9,29.58,20.3778467529042,28.36,19.07,30.5876161122327
UMMZ_217744,Catharus_guttatus,37.07,25.41,35.15,7.16,8.58,29.1929144627699,22.11,20.5,17.3867246208639,19.46,13.685,22.4637040834759
UMMZ_217745,Carpodacus_cassinii,26.9615573578651,21.5116249584134,29.56,6.70581408635579,5.93,18.14,22.34,16.64,17.46,16.3732107131528,12.9296757788936,19.0724907237373
